性別,現在の年齢,現在好きな音楽の嗜好性やジャンル（大まかで構いません）,現在、ご自身はどの程度音楽に関心がありますか？,自分から進んで音楽を聞くようになった（自覚して選曲するようになった）年齢はいくつですか？,幼少期、家族と車に乗る機会は多かったですか？,"車内で音楽（CD, MD, ラジオ等）は流れていましたか？",誰が選んだ音楽を流していましたか？（複数回答可）,"★兄弟姉妹と答えた方へ★
選曲した兄弟姉妹は…","車内でよく流れていた曲やアーティストを覚えていますか？
特定のアーティスト・曲をお答えください。
覚えていない場合は空欄で構いません。",その音楽を聴くと、当時の情景や気分を思い出しますか？,その音楽に対して当時は好意的でしたか？,その音楽に対して今は好意的ですか？,"選曲をしていた人への気持ちは当時はどうでしたか？
※答えたくない場合は空欄でも構いません","選曲をしていた人への気持ちは今はどうですか？
※答えたくない場合は空欄でも構いません",当時車で聴いていた音楽は、現在の自分の好みの傾向に影響を与えていると思いますか？,自分が音楽を選ぶとき、その時代の音楽を好んで選ぶことがありますか？,幼少期に車内以外で、影響を受けた聴取環境はありますか？,車内以外の環境で聴いた音楽と比べて、車内での音楽の記憶はより印象に残っていますか？,車内で聞いた以外で、幼少期に思い出に残っているアーティスト・曲があればお答えください。,幼少期の車内で印象的だった音楽体験、記憶に残っている出来事があれば自由にご記入ください。,「親の車理論」という考えについてどうお考えですか？（あるある！もしくは理解できない...など）
男性,24,ボカロ、分厚い音の曲、コードの展開や展開そのものが複雑で叙情的なもの(テンポ早めなら尚好み),5,10,月数回,常に,"親, 自分",,UVER WORLD▶︎CORE PRIDE、REVERSI、儚くも永久のカナシ     L'Arc~en~Ciel▶︎DAY BREAKS'BELL     サイキックラバー▶︎特捜戦隊デカレンジャー    高屋 亜希那▶︎バトルフロンティア   松本梨香▶︎ベストウィッシュ！   あきよしふみえ▶︎Together、サイコー・エブリディ！(with THE GREATEST-BAND)  ,なんとなく,5,5,,,とてもある,はい,テレビ,車内の方が記憶に残っている,じん(自然の敵P)▶︎(アルバム名)メカクシティデイズ、メカクシティレコーズ、daze/days  スズムP▶︎絶望性:ヒーロー治療薬(feat.そらる)、THE RiCECOOKERS▶︎波のゆくさき    JAM Project▶︎牙狼〜SAVIOR IN THE DARK〜 ,手で太ももを叩くドラムの真似事をし続け、足がパンパンに膨れ上がり立つのが辛かったです,"友達と、そして自分だけで曲を探して聴けるようになったのは、当時WiiUを買い与えてもらい、YouTubeやニコニコ動画を利用できるようになってからでした。それまでに聴いてきた車内の曲を探して、『これがカッコイイ』などと、バンドやボカロ、ポップスといった枠組みにとらわれず たくさんの曲をききあうことも、｢ジャンル｣という概念を知ってから『あの曲(車内での曲)みたいなやつで他に好きなやつを知りたい、聴きたい』と探し続けていたことも、車内で流れていた曲の影響があったからこそだと思っております。
余談ですが、嫌な曲はとことん嫌でした。幼少期、車内でメロディが不快に感じるものが流れたらすぐにスキップ再生してもらっていました。とても記憶に残っており、今サブスクでタイトルを見ると、『うわ...』....眉間にシワが寄ることも、あります。なので、明らかに影響があると思います。...そういうことでは、、ない、、、、でしょうか。༼  ຶ.̮   ຶ༽"
,29,ロック,5,11,週数回,常に,兄弟姉妹,姉,RADWIMPS,はい,5,5,5.0,5.0,とてもある,はい,自分以外の家族の部屋,車内で聴いた音楽が良かったからの姉の部屋で改めて聴いていた,BUMP,テレビに流れている音楽が自分の音楽だったが、車内では姉が入手してきたテレビには流れないチョイスの音楽が流れていた。そのとき初めてロックバンドを聴いてこんな音楽があるのかと衝撃的だった,テレビでしか情報が得られなかった時代に、姉が流行りの音楽をキュレーションしてくれ子供の情報の中に刺激を与える場になってくれる
女性,33,パンク、ハードコア、メタル、インサトゥルメンタル,4,13,週数回,常に,親,,郷ひろみ,はい,3,3,5.0,3.0,あまりない,ときどき,,車内の方が記憶に残っている,ウィーン少年合唱団,,
男性,31,AOR 渋谷系,4,13,週数回,よく,親,,サザンオールスターズ バラッド3 氣志團、シャ乱Q、ABBA 等,いいえ,4,4,5.0,4.0,あまりない,ない,ラジオ,その他の場所の方が記憶に残っている,竹内まりや 毎日がスペシャル,,
男性,32,ロック,2,12,週数回,たまに,親,,Cocco,いいえ,3,5,4.0,,あまりない,ときどき,テレビ,どちらも同じくらい記憶に残っている,SPEED,,あるのではないかと思う
男性,32,オルタナ、ハードコア,4,12,週数回,よく,親,,EXILE、宇多田ヒカル、西野カナ,いいえ,3,3,1.0,3.0,全くない,ない,ラジオ,特になし,,,
男性,30,バンド〜JPOP、HIPHOPなど,5,10,月数回,常に,親,,Automatic/宇多田ヒカル,はい,5,5,5.0,5.0,ややある,はい,テレビ,車内の方が記憶に残っている,ナンダカンダ/藤井隆,祖父がドライブでよく谷村新司を流しながらドライブしてくれていたらしい。(あまり覚えてない),初めて聞いた理論ですが非常に面白いと思いました。親が車でかけていた曲、というのは多くの方に当てはまるワードかと思います。
男性,34,ポップス、ロック、ジャズ,5,13,月数回,常に,"親, 兄弟姉妹, 自分",妹,1960-80年代の洋ロック,いいえ,2,4,3.0,4.0,ややある,ときどき,テレビ,車内の方が記憶に残っている,,,あると思います。
男性,32,オルタナティブロック,4,14,ほぼなかった,ほぼなし,祖父母,,,はい,3,4,5.0,5.0,あまりない,ない,フラッシュ倉庫,その他の場所の方が記憶に残っている,BUMP OF CHICKEN,,
男性,35,シティポップ,3,16,月数回,たまに,親,,荒井由美　松任谷由実　ビリージョエル　今井美樹の『PRIDE』,なんとなく,5,5,3.0,1.0,ややある,はい,自分以外の家族の部屋,その他の場所の方が記憶に残っている,山下達郎　竹内まりや　小田和正　洋楽のコンピレーションアルバム,お盆休みの家族旅行。夜に出発し、助手席に座り首都高から見えた大きな東京タワーとともに流れてきた松任谷由実の『真夏の夜の夢』の歌い出し「骨まで溶けるようなテキーラみたいなキスをして」のフレーズは忘れっぽい自分の記憶にその風景と音楽がしっかりと焼きついている。,幼少期は車内で父が音楽を流していたがカーナビの普及とともにテレビを見る事が大半になりあまり「親の車理論」は個人的には大きくは当てはまらなかった。どちらかというと学校から帰った後、自宅のこたつで母親と紅茶を飲みながら聴いた竹内まりやのアルバム『Bon Appetit!』や山下達郎のクリスマスソング集『SEASON'S GREETINGS』の方が大人になってから大瀧詠一を好んで聴くようになったのを考えるとそっちの方が影響があると感じた。あとは東京に住んでおり、車を運転する人間が一人(父)しかいなかったのもあり、週に1回乗るか乗らないかという微妙な頻度も影響しそう。
男性,40,ヴィジュアル系、JPOP,5,10,週数回,常に,"親, 自分",,ZARD、globe、華原朋美,なんとなく,5,5,3.0,2.0,とてもある,はい,テレビ,どちらも同じくらい記憶に残っている,THE MAD CAPSULE MARKETS,,車で聞いたカセットテープやラジオが音楽人生の始まりでした。
男性,31,ポップス,2,12,週数回,常に,"親, 兄弟姉妹, 自分",妹,ジローズ『戦争を知らない子供たち』などのフォーク、歌謡曲,はい,3,2,4.0,4.0,全くない,はい,テレビ,車内の方が記憶に残っている,モーニング娘。,,田舎の人は特にあるあるな気がします
女性,42,ポップ、ロック、ハウス・テクノ,4,5,週数回,常に,親,,チェッカーズ、TUBE、安全地帯、桃色吐息,なんとなく,3,4,3.0,3.0,ややある,ときどき,ラジオ,どちらも同じくらい記憶に残っている,Beatles、ベンチャーズ、サザンオールスターズ、ユニコーン、ジュンスカイウォーカズ,車内ではないですが「車でかけたいから、○○の××ってアルバムTSUTAYAで借りてきて！ダビングするから！」という会話がよくありました。思い出すたび時代を感じます。,ご自身の世代じゃなさそうな曲を知ってる人に、その理由を聞くと「親の車でかかってて聴いてるうちに好きになった」という話がよくでる気がしているので、この経緯で特定の音楽を好きになった人はどれくらいいるんだろう？と、純粋に興味があります。
男性,35,オルタナ,5,4,週数回,常に,"親, 兄弟姉妹, 自分",,中島みゆき、ラルク、GLAY,いいえ,5,5,5.0,3.0,ややある,ときどき,テレビ,車内の方が記憶に残っている,X、河村隆一,,
男性,32,ポップス、アンビエント、アイドル、シューゲ、クラシック、ジャズ、ノイズ、ポストクラシカル、メロコアなど、好きだと思えばだいたいなんでも,2,12,毎日,ほぼなし,親,,,,1,1,,,全くない,ない,,,だんご3兄弟,,"影響がないとは言わないが、それほど重要ではないと思う。とくに幼少期についてはほぼ無関係ではないかとおもう。音楽を聴く習慣というのは10代頃に形作られるものと個人的には考えている。その頃に親の聴いていた音楽に影響を受けることはあるだろうと思う。一方で、10代というのは徐々に自身の力で移動する術を身に着けだす年齢であり、その点でカーステレオの果たす役割は大きいのだろうかと疑問がある。また、仮に幼少期にカーステレオの影響が大きいとすると、都市部では車移動する頻度が少なくなる分、音楽家やリスナーの多くは地方出身者になるのではないだろうか。しかし、現在の状況を鑑みるに必ずしもそのような状況ではないように思う。

別件だが、設問の設定が、他設問との関係が分かりにくい、指示が明確ではない、基準が示されていないなど欠陥があるように思う。
例えば、私は音楽に対して関心があるとそれほどあるとは考えいないが、音楽ライブやフェスには最低でも月に3つ以上通うし、それなりの時間毎日何がしかの音楽を聴く。が、自己認識としては上記のとおりである。全体的に目安がないため、こうなる。
必須項目の置き方も不自然である。記憶と感情の有無の3項目と4項目を必須にする意図はなんですか？直前2項目がなければ、ここも当然答えられないことになるはずであり、必須になるはずない項目である。
研究と称するなら、ちゃんと考えて作成なさい。"
男性,37,フォーク、オルタナティブロック,5,5,毎日,常に,親,,工藤静香,はい,3,5,3.0,5.0,とてもある,はい,テレビ,車内の方が記憶に残っている,岡本真夜　tomorrow,カセットテープだったのでいろんなアーティストのカセットテープが車の中に置いてあった,確実にあると思います
男性,26,JPOP,3,14,月数回,常に,親,,TOTO,なんとなく,4,4,1.0,1.0,ややある,はい,ラジオ,車内の方が記憶に残っている,福山雅治,,ある。
男性,34,JPOP､テクノ,4,10,週数回,常に,親,,碧いうさぎ（酒井法子）、大丈夫だよ（岡本真夜）,はい,5,5,5.0,3.0,とてもある,はい,テレビ,車内の方が記憶に残っている,青春アミーゴ（修二と彰）､群青日和（東京事変）,,"確実にあるなーと思う。曲の好みという点でもそうだし､
カラオケでの選曲などでも､最近の曲を探すよりも､幼少期に車の中で聴いた曲の方を頼って探してしまうことが多い。"
女性,35,邦楽ロック　R&B　J-POP,4,12,毎日,常に,親,,GACKT　CHEMISTRY　MISSHA　平井堅　中島美嘉　等,はい,5,5,3.0,4.0,とてもある,はい,ラジオ,車内の方が記憶に残っている,w-inds. Lead FLAME,,その後の音楽遍歴にかなり影響を与えていると思います
男性,29,邦オルタナ,5,13,月数回,よく,親,,サザンオールスターズ・松任谷由実,なんとなく,3,4,3.0,4.0,わからない,ときどき,家では音楽は流れていなかった,車内の方が記憶に残っている,ない,,なんとなく分かるが、自分は当てはまらないなとも思う
男性,39,,5,6,毎日,よく,"親, 兄弟姉妹",姉,"Bz,SMAP,藤あや子",なんとなく,5,4,4.0,5.0,とてもある,ない,自分以外の家族の部屋,どちらも同じくらい記憶に残っている,,,無くは無いのかな
男性,33,ポストロック、マスロック,4,15,週数回,常に,親,,Queen,はい,4,4,4.0,4.0,ややある,ときどき,テレビ,車内の方が記憶に残っている,DA PUMP,,あると思います
男性,32,ロック,4,10,週数回,常に,親,,B'z,はい,5,5,5.0,5.0,ややある,はい,テレビ,車内の方が記憶に残っている,,親の単身赴任先である鹿児島から実家である熊本に家族6人(うち子ども4人)で定期的に車に載せられて向かう幼少期を過ごした 真夜中に高速を走り通ったオレンジ色のトンネル照明の景色とその時にかかっていたライオンハートを覚えている 適度な非日常感、車内の寝静まった雰囲気、見える景色のなんとなくの切なさが上手くマッチしていたからかもしれない,個人的には共感できる。が、良好な親子関係を築けていたからかもしれないとも思う。
男性,49,オルタナ、ポストメタル、ファンク、EDM,2,16,週数回,常に,親,,ルビーの指輪,はい,3,1,3.0,3.0,全くない,ない,テレビ,どちらも同じくらい記憶に残っている,沢田研二、安全地帯,,当てはまらない！
女性,33,バンド系,3,10,毎日,常に,親,,小田和正 / aiko,なんとなく,3,5,5.0,4.0,あまりない,ときどき,ラジオ,どちらも同じくらい記憶に残っている,,,
男性,23,プログレ,5,16,月数回,よく,親,,,いいえ,3,3,4.0,3.0,あまりない,ない,テレビ,車内の方が記憶に残っている,平沢進 -地球ネコ,,単純接触効果の一面として有意にありそう．
男性,46,なんでもござれ。,5,5,免許無し、車無し。,家では両親共に音楽をしょっちゅう流していた。,親,,さだまさし,はい,5,5,5.0,5.0,ややある,はい,テレビ,どちらも同じくらい記憶に残っている,中島みゆき,ウエストサイドストーリーのサントラ。これを流すと自分は泣き止んだ。,印象には残るけど、その後の人生で大きな音楽になるかは別だけど、音楽に対する基礎は出来る気がする。
男性,37,バンドもの,3,13,月数回,たまに,親,,SMAP ビートルズ ディズニー楽曲　イトコの車でSPEEDが流れていたのを覚えている,なんとなく,3,3,3.0,3.0,わからない,ない,テレビ,その他の場所の方が記憶に残っている,クレヨンしんちゃんやキョロちゃんなどアニメの楽曲　天才てれびくんやハッチポッチステーションなどNHK教育テレビの番組の曲　ポンキッキシリーズで流れていた曲,なぜ白雪姫のハイホーが高頻度で流れるのか親に尋ねたら「妹が喜ぶため」との回答があった,23区内で育ったため車社会ではなかった。無関係に思う。
男性,29,House、Techno、J-Hiphop,5,12,毎日,常に,"親, 自分",,CHEMISTRY、マイケル・ジャクソン、エイミー・ワインハウス、ウルフルズ,いいえ,5,5,5.0,5.0,ややある,ときどき,ゲーム,どちらも同じくらい記憶に残っている,SEGAのサントラ,,
男性,30,邦ロック,4,10,週数回,常に,"親, 自分",,GLAY、ZARD、ORANGE RANGE、Aqua Timez,いいえ,5,3,5.0,3.0,ややある,ときどき,テレビ,どちらも同じくらい記憶に残っている,YUI（LIFE、feel my soul）,恥じらいなくでかでかと曲を歌っていた,少しは加味されてる。同じCDやMDがループするので曲が頭に残りやすい。
男性,32,J-ロック,3,10,週数回,常に,"親, 兄弟姉妹, 自分",兄,スピッツ 青い車,はい,5,5,5.0,5.0,とてもある,ときどき,ラジオ,車内の方が記憶に残っている,リップスライム 楽園ベイベー,家族でお出かけの時はスピッツかサザンオールスターズ、部活(野球)の送り迎えはロードオブメジャーなど、シーンに合わせて親や兄が車の中で選曲してくれていたことに対して、今になってありがたみを感じる。自身、音楽活動をはじめてから「BGM」に対してバックグラウンドという言葉にあまり良い印象は無かったが、幼い頃当時の事を思い出すと、うっすらと音楽と情景の記憶は儚くもずっと心の奥底に残っていることは感慨深い。,とても共感しました。
,32,ロック,5,13,月数回,よく,親,,桑田佳祐、椎名林檎,いいえ,3,4,1.0,1.0,全くない,ない,テレビ,その他の場所の方が記憶に残っている,,椎名林檎のギブスを聴いていた時に事故を起こして、ギブスを付けてた事がありました。それだけは覚えてます。,"家族の影響、というより
幼少期の情報量の少なさを家族がカバーして
子供に知恵を授ける、勉強や生活の知恵と
似ているように感じます。

幼稚園、小学校の頃といえば
両親が家に基本的に居なかったので
祖母の家で聴いていた落語やラジオ
漫談が多かったような気もします。

そっちの方が覚えているはずなのに
まったく私生活やその他に活かされていないので
音楽に関する自我の形成は
少しだけ遅いのかもしれません。

"
男性,29,J-POP,4,12,週数回,常に,親,,ポルノグラフィティ,はい,5,5,2.0,1.0,ややある,ときどき,テレビ,その他の場所の方が記憶に残っている,EXILE,車の窓開けて真夏に日差しが照らしてる中、アゲハ蝶とかミュージック・アワー流れてるのが最高に楽しかった記憶がある。,"大人になってから車買うって前提の話なら、社会に出る前に一種のプレゼンを親に対してできると思えばいい経験なのではと思う。
車必須の環境なら問答無用で買ってもらうべきではあると思うが、そこまで必要ないのであれば単に周りが買ってるからとかではなく、それなりのちゃんとした理由付けがなされている必要はあると考える。"
男性,34,ロック,4,10,毎日,常に,親,,宇多田ヒカル、BOOWY,いいえ,3,3,3.0,3.0,ややある,ときどき,だいたい全部,どちらも同じくらい記憶に残っている,ジュディマリとか,祖母の実家に帰るときの高速の車内でよく聞いた曲はなんとなく覚えてます,景色と紐づくのはあるけど車に限定されないかな、と思いました
男性,29,JPOP(バラード寄り).邦ロックなど,4,10,週数回,常に,親,,GLAY 小田和正 サザンオールスターズ ドリカム,はい,5,5,5.0,5.0,ややある,ときどき,テレビ,車内の方が記憶に残っている,ALI PROJECT、SoundHorizon、宇多田ヒカル,夏に母がリピートでかけていたGLAYのHoweverを聴きながら、Tシャツの袖の中にクーラーの空気を送って涼んでいたのをよく覚えてます。,だいぶあると思います。子どもが初めて質の良いスピーカーで立体的な音を聞くのは大抵車だと思うので。
女性,22,ボーカロイド、オルタナティブ、インディーズ,4,16,週数回,常に,親,,[ALEXANDROS]、安室奈美恵、King Gnu,はい,4,4,3.0,3.0,あまりない,はい,テレビ,車内の方が記憶に残っている,,,
女性,32,邦楽ロック,4,10,週数回,よく,親,,宇多田ヒカル,なんとなく,2,4,4.0,1.0,あまりない,ない,テレビ,車内の方が記憶に残っている,,ピアノで習ってた曲,
男性,31,J-POP、ロック,5,12,週数回,常に,親,,"BACKSTREET BOYS, ENYA, DEEP PURPLE, The Beatles, 嘉門達夫, 太田裕美",なんとなく,3,4,4.0,5.0,ややある,ときどき,テレビ,車内の方が記憶に残っている,"サザンオールスターズ, 中島みゆき",車内で流れていた嘉門達夫の曲でよく笑っていたが、学校の友達には通じることがなく、「これ我が家でしか流行ってないんじゃないか」と薄々気付き始めたこと。,あるあるだと思います！親の車で流れていた曲そのものを聴き続けるというよりは、趣味嗜好に関する初期設定が完了してしまうイメージです。自分の場合は楽しいドライブのときに聴いていた音楽にポップスが多かったので、今でもポップスを好んで聴くようになったと思っています。一方で休みの日に遊びたいのに父親が家でプログレとかメタルの番組を観ていたことはあまり良い印象が無いのでそっちの嗜好には走らなかったのかなと。もちろん本人の人生で何を選んでいくかは自由意志で決められますが、幼少期にある程度の方向性が決められるという意味では決定論的な要素も少なからずあると思います。
男性,38,Jpop JRock classic,4,12,週数回,常に,"親, 自分",,"チェリッシュベスト、今井美樹""PRIDE""、酒井法子""碧いうさぎ'' ""鏡のドレス"" ""涙色""、山口百恵ベスト、大黒摩季""熱くなれ"" ""ららら""、宇多田ヒカルアルバム""FirstLove""、小松未歩""謎""",はい,5,4,4.0,4.0,とてもある,はい,テレビ,車内の方が記憶に残っている,GLAY、L'Arc-en-Ciel、XJAPAN,家族で夜ドライブすることが多かったので曲を聴くとその時の記憶がよみがえる,いい意味でも悪い意味でも影響は多分にあると思う
男性,36,ファンク、R&B,5,13,週数回,常に,親,,久保田利伸、宇多田ヒカル、MISIA,はい,3,5,5.0,5.0,ややある,はい,テレビ,車内の方が記憶に残っている,ポルノグラフィティ、B'z,シートを倒した状態で眺めている流れる街灯,自分の音楽のルーツだと思います。
男性,29,ボーカロイド、サントラ、ユーロビート,5,13,週数回,常に,親,,佐野元春 someday,はい,3,4,3.0,4.0,ややある,ときどき,ラジオ,どちらも同じくらい記憶に残っている,ユーロビート,父親が上機嫌に口ずさんでた,あると思います。少なからず影響を受けると思います
男性,37,ゲーム音楽、アニソン,2,15,週数回,たまに,親,,サザンオールスターズ「SAUDADE ～真冬の蜃気楼～」,なんとなく,4,4,4.0,4.0,ややある,ときどき,自分以外の家族の部屋,どちらも同じくらい記憶に残っている,井上陽水（父の趣味）　平井堅（母の趣味）　ポケモンのアニメの曲　みんなのうた色々（自分でカセットを操作して聴いていました）,小学校中学年頃、母方の祖父の死や父母の不仲などから「真冬の蜃気楼」の「国際電話が最後のお別れ」「冷たい膝を抱き寄せた」など死のイメージ、「人はどうして過去への扉を叩いて生きるの」など後悔のイメージの印象が強く、これを流している母の想いが含まれているように感じていました（実際にはわかりません。単に好きな曲だったのかも）,幼少期といえども、小学生は死を認識する程度の人格は育ってきているので、卵が先か鶏が先か的なところは出てきてしまう気がします（すでに死や人生の不条理を気にする人格だったので、音楽のそういう印象が記憶に残ったのか、音楽のそういう印象がもとでそういう人格が強化されたのか）
男性,40,邦ロック、邦パンク、JPOP、洋楽もたまに。,5,14,週数回,よく,"親, 自分",,聖闘士星矢のOP,いいえ,4,3,3.0,2.0,あまりない,ない,テレビ,あまり印象に残ってない,覚えていない,,あまり相関性はないんじゃないかと思われます。
男性,30,女性アイドル(J・K共に),3,13,月数回,常に,親,,SMAP、中谷美紀、小田和正、中島美嘉、清春、ミスチル,いいえ,4,3,5.0,4.0,ややある,ない,テレビ,車内の方が記憶に残っている,浜崎あゆみ、鈴木亜美、モーニング娘。、ケミストリー,,
男性,55,ハードロック、グラムロック,5,13,週数回,たまに,親,,森田公一とトップギャラン,なんとなく,4,3,3.0,3.0,ややある,はい,テレビ,その他の場所の方が記憶に残っている,中森明菜,私の幼少期は、8トラックが主流でした,自分の子は好みが違うので、あまり理解できないかなぁ…
女性,39,ロック、メタル、テクノ、プログレ,5,14,月数回,よく,親,,,なんとなく,3,2,2.0,1.0,あまりない,ない,自分以外の家族の部屋,その他の場所の方が記憶に残っている,葉加瀬太郎,曲は覚えていないけど、親が流れる曲で鼻歌を歌っていたのは覚えてます。,興味深い視点だと思います。
女性,45,"JPOP,アニメソング",5,13,毎日,常に,"親, 自分",,"演歌（親の趣味）, 当時の流行歌（親の趣味）,アニメソング（自分の趣味）",はい,3,5,3.0,3.0,とてもある,はい,テレビ,車内の方が記憶に残っている,,,考えた事がない
